,city,job_title,company_name,location,summary,salary
1,New+York,Senior Data Scientist (Remote-friendly),Noom Inc.,"New York, NY 10001 (Flatiron District area)","We offer a generous budget for personal development expenses like training courses, conferences, and books.
You’ll get three weeks’ paid vacation and a flexible…",Nothing_found
2,New+York,Data Science Specialist USA,Mphasis,"New York, NY","Excellent knowledge of NLP and ML alogrithms.
Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision…",Nothing_found
3,New+York,Senior Data Analyst,EmblemHealth/AdvantageCare Physicians,"New York, NY 10004 (Financial District area)",Generate EmblemHealth Provider File reports and data analysis for a variety of internal and external customers.,Nothing_found
4,New+York,Data Science Intern,Dolphin,"New York, NY 10014 (SoHo area)","We're currently looking for Data Science interns for Summer 2020.
Successful interns will be quantitative fast learners proficient in SQL, Python, Heap.io, and…",$25 an hour
5,New+York,Data Scientist - HBO Max,HBO Max,"New York, NY",The Data Scientist will be a part of the Data Science team responsible for the day to day output for WarnerMedia's streaming service.,Nothing_found
6,New+York,Data Scientist,Rose Technology,"Manhattan, NY","As a data scientist for Rose, candidates will be aggregating data.
Candidates will also be automating pipes for data ingestion.","$80,000 - $100,000 a year"
7,New+York,Data Scientist,Digitalogy,"New York, NY","Responsible for assisting with the development of our state-of-the-art, advanced analytical machine-learning-based software framework that can ingest, structure…",$50 - $80 an hour
8,New+York,Data Scientist,AETNA,"New York, NY 10016 (Murray Hill area)","Participates in the development, validation and delivery of algorithms, statistical models and reporting tools.
Solves moderately complex analytical problems.",Nothing_found
9,New+York,Senior Data Scientist,AETNA,"New York, NY 10016 (Murray Hill area)","Leads and participates in the development, validation and delivery of algorithms, statistical models and reporting tools.
Master’s degree or PhD preferred.",Nothing_found
10,New+York,Data Scientist,ODSC Hiring Partner,"New York, NY","As a Data Scientist, you will provide cutting-edge algorithms, visualizations, and expert insight for business challenges throughout their organization.","$80,000 - $150,000 a year"
11,New+York,Data Scientist,Biz2Credit Inc,"New York, NY 10119 (Chelsea area)","While a background in financial services is not required, you must be passionate about tackling complex data challenges for the benefit of small and medium…",Nothing_found
12,New+York,Data Scientist - Content - HBO Max,HBO Max,"New York, NY","As a Content Data Scientist on the HBO Max Data & Analytics team, you will join the exciting Content Intelligence & Metadata team to translate our programming…",Nothing_found
13,New+York,Data Scientist,CompuForce,"New York, NY 10170 (Midtown area)",CompuForce is seeking an experienced and highly motivated data scientist to join our client’s growing data science team.,Nothing_found
14,New+York,Data Scientist,Plug Power Inc,"Latham, NY 12110",The position will focus on analytical diagnostics and predictive maintenance of Plug Power’s rapidly growing fuel cell fleet.,Nothing_found
15,New+York,Senior Analyst/Data Scientist,RedShift,"Albany, NY","Track KPI’s and report to the team.
Identify non-performing relays that should be shut down.
Identify which relays are performing but overpriced and need to be…",Nothing_found
16,New+York,Senior Data Scientist (Remote-friendly),Noom Inc.,"New York, NY 10001","We offer a generous budget for personal development expenses like training courses, conferences, and books.
You’ll get three weeks’ paid vacation and a flexible…",Nothing_found
17,New+York,Sr. Data Scientist,Ascensia Diabetes Care,"Valhalla, NY 10595",The ideal candidate will be intricately involved in running analytical experiments in a methodical manner and will regularly evaluate alternate models via…,Nothing_found
18,New+York,Data Science Specialist USA,Mphasis,"New York, NY","Excellent knowledge of NLP and ML alogrithms.
Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision…",Nothing_found
19,New+York,Senior Data Analyst,EmblemHealth/AdvantageCare Physicians,"New York, NY 10004",Generate EmblemHealth Provider File reports and data analysis for a variety of internal and external customers.,Nothing_found
20,New+York,Data Scientist,CompuForce,"New York, NY 10170",CompuForce is seeking an experienced and highly motivated data scientist to join our client’s growing data science team.,Nothing_found
21,New+York,Data Scientist,Source Enterprises,"New York, NY",Work with our industry experts to gain unrivaled knowledge at both the strategic level (generating bold and innovative ideas for data science-driven growth) and…,Nothing_found
22,New+York,Data Scientist,CBS,"New York, NY 10176","JOB TYPE: Full-Time Staff.
We use Google Cloud Platform to process large volumes of data from multiple vendors enabling our BI, Yield, Finance and marketings…",Nothing_found
23,New+York,Data Scientist - Financial Services Lab,McKinsey & Company,"New York, NY 10022","Advanced degree in a STEM related field (Ops Research, Statistics, Applied Math, Engineering, Business Analytics).
Up to 2 years of professional experience.",Nothing_found
24,New+York,"Data Scientist, Music Analytics",Spotify,"New York, NY 10011","Support leadership with research on key business initiatives and challenges.
Perform analyses on large sets of data to extract actionable insights that will…",Nothing_found
25,New+York,People Analytics Data Scientist,"D. E. Shaw & Co., L.P.","New York, NY 10036",Members of HCAP are curators of employee data and leverage it to help answer strategic and operational talent questions for leaders across the business.,Nothing_found
26,New+York,Data Scientist,Vettery,"New York, NY","Leveraging machine learning models that track real-time data, monitor trends and predict hiring behavior, we're able to help companies grow their teams with…",Nothing_found
27,New+York,Data Scientist,Thermo Fisher Scientific,"Grand Island, NY 14072","Whether our customers are accelerating life sciences research, solving complex analytical challenges, improving patient diagnostics and therapies or increasing…",Nothing_found
28,New+York,Data Scientist,Public Goods,"New York, NY","Extract actionable insights, trends and patterns from our KPIs.
Create new data pipelines and models based on strategic needs.",Nothing_found
29,New+York,Statistician & Data Analysis Scientist,Corning,"Painted Post, NY 14870",Scope of Position (i.e. projects involved with and role within group): This position is within the Data Driven Modeling organization which utilizes several…,Nothing_found
30,New+York,Data Scientist,Plug Power Inc,"Latham, NY 12110",The position will focus on analytical diagnostics and predictive maintenance of Plug Power’s rapidly growing fuel cell fleet.,Nothing_found
31,New+York,Senior Analyst/Data Scientist,RedShift,"Albany, NY","Track KPI’s and report to the team.
Identify non-performing relays that should be shut down.
Identify which relays are performing but overpriced and need to be…",Nothing_found
32,New+York,Senior Data Scientist (Remote-friendly),Noom Inc.,"New York, NY 10001 (Flatiron District area)","We offer a generous budget for personal development expenses like training courses, conferences, and books.
You’ll get three weeks’ paid vacation and a flexible…",Nothing_found
33,New+York,Senior Analyst/Data Scientist,RedShift,"Albany, NY","Track KPI’s and report to the team.
Identify non-performing relays that should be shut down.
Identify which relays are performing but overpriced and need to be…",Nothing_found
34,New+York,Data Scientist,Plug Power Inc,"Latham, NY 12110",The position will focus on analytical diagnostics and predictive maintenance of Plug Power’s rapidly growing fuel cell fleet.,Nothing_found
35,New+York,Lead Data Scientist,Macy's,"New York, NY 10001 (Chelsea area)","As part of the Pricing – Data Science Group, the Lead Data Scientist will develop innovative analytical approaches to inform and execute pricing strategies.",Nothing_found
36,New+York,Data Scientist,Madison Logic,"New York, NY 10010 (Flatiron District area)",Act as a hands-on Data Scientist by tackling a rich set of tangible problems that have measurable business impacts.,"$120,000 - $140,000 a year"
37,New+York,Data Scientist,"Remedy BPCI Partners, LLC.","New York, NY","Algorithms: Classifications, Regressions, Neural Networks, Time series, Graphs.
Develop and/or use various algorithms to build predictive models within a…",Nothing_found
38,New+York,Data Scientist,American Civil Liberties Union,"New York, NY 10036 (Midtown area)","The Data & Analytics Department of the ACLU's National office in New York, NY seeks applications for the full-time position of Data Scientist.",Nothing_found
39,New+York,Data Scientist - Research Technology,Morgan Stanley,"New York, NY",Morgan Stanley Research Technology is looking for a data scientist to help with conducting advanced data analysis and develop Machine Learning and Artificial…,Nothing_found
40,New+York,Data Scientist,Advan Research Corporation,"New York, NY",The individual with work with the CTO team to enhance our existing geolocation products along with new complementary datasets.,Nothing_found
41,New+York,Junior Data Scientist,Avibra,"New York, NY","Mine and analyze data from different resources, and use predictive modeling to increase and optimize customer experiences, customer acquisition, and conversion,…",Nothing_found
42,New+York,Data Scientist,ACLU,"New York, NY 10004 (Financial District area)","The Data & Analytics Department of the ACLU’s National office in New York, NY seeks applications for the full-time position of Data Scientist.",Nothing_found
43,New+York,Junior Data Scientist,Decode_M,"New York, NY","We’re actively looking to recruit a Junior Data Scientist with 1-3 years of experience who, among other things, can support the team in developing scalable data…",Nothing_found
